StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water,in situmg/L as",county
11475560,ELDER C NR BRANSCOMB CA,02/10 22:30 PST,8.9,--,--,--,--,--,Mendocino County
11261100,SALT SLOUGH A HWY 165 NR STEVINSON CA,02/10 22:30 PST,12.4,"1,010",--,--,--,--,Merced County
11261500,SAN JOAQUIN R A FREMONT FORD BRIDGE CA,02/10 22:00 PST,13.5,"1,230",--,--,--,--,Merced County
11262900,MUD SLOUGH NR GUSTINE CA,02/10 22:30 PST,14.8,"2,890",--,--,--,--,Merced County
10265100,DEADMAN C A BIG SPRINGS NR CRESTVIEW CA,02/10 22:00 PST,10.4,--,--,--,--,--,Mono County
10265150,HOT C A FLUME NR MAMMOTH LAKES CA,02/10 22:00 PST,30.2,--,--,--,--,--,Mono County
,,10/17 23:45 PST,--,598,--,--,--,--,Mono County
373817118514101,003S028E35NS02M HOT C FH,02/10 22:00 PST,15.3,--,--,--,--,--,Mono County
373822118514401,003S028E34RS01M HOT C FH,02/10 21:45 PST,16.4,--,--,--,--,--,Mono County
373829118505801,003S028E35KS01M HOT C FH,02/10 22:00 PST,11.5,--,--,--,--,--,Mono County
11453590,POPE C A WALTER SPRINGS CA,02/10 21:45 PST,12.3,--,--,--,5.7,--,Napa County
11458000,NAPA R NR NAPA CA,02/10 22:45 PST,Ssn,--,--,--,Ssn,--,Napa County
10343500,SAGEHEN C NR TRUCKEE CA,02/10 22:00 PST,2.8,--,--,--,--,--,Nevada County
10346000,TRUCKEE R A FARAD CA,Nevada County
,TS087: YSI model 6136,03/21 07:30 PDT,--,--,--,--,13.7,--,Nevada County
,[TS213: YSI EXO],02/10 22:45 PST,--,--,--,--,1.4,--,Nevada County
10336660,BLACKWOOD C NR TAHOE CITY CA,02/10 22:30 PST,1.5,--,--,--,1.9,--,Placer County
10336676,WARD C AT HWY 89 NR TAHOE PINES CA,02/10 22:00 PST,0.1,--,--,--,0.7,--,Placer County
11433790,NF AMERICAN R A AUBURN DAM SITE NR AUBURN CA,02/10 21:45 PST,8.8,--,--,--,--,--,Placer County
11044000,SANTA MARGARITA R NR TEMECULA CA,02/10 22:00 PST,12.3,968,10.5,8.3,--,--,Riverside County
11336600,DELTA CROSS CHANNEL NR WALNUT GROVE,02/10 21:45 PST,11.9,175,--,--,--,--,Sacramento County
,[TS213: YSI 6136],02/10 21:45 PST,--,--,--,--,4.2,--,Sacramento County
11446220,AMERICAN R BL FOLSOM DAM NR FOLSOM CA,02/10 22:45 PST,8.9,--,--,--,--,--,Sacramento County
11446500,AMERICAN R A FAIR OAKS CA,02/10 22:45 PST,10.0,--,--,--,--,--,Sacramento County
11446700,AMERICAN R A WILLIAM B POND PARK A CARMICHAEL CA,02/10 21:45 PST,11.6,--,--,--,--,--,Sacramento County
11446980,AMERICAN R BL WATT AVE BRDG NR CARMICHAEL CA,02/10 22:45 PST,11.6,--,--,--,--,--,Sacramento County
11447650,SACRAMENTO R A FREEPORT CA,Sacramento County
,"BGC PROJECT, [East Fender]",02/10 22:30 PST,11.5,220,10.1,7.6,15.1,0.34,Sacramento County
,[Right Bank Pump Stand],02/10 22:00 PST,11.6,--,--,--,--,--,Sacramento County
11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,Sacramento County
,BGC PROJECT,02/10 22:30 PST,11.5,203,9.6,7.7,15.1,0.51,Sacramento County
11447903,GEORGIANA SLOUGH NR SACRAMENTO R,02/10 22:30 PST,11.4,202,--,--,--,--,Sacramento County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,13.3,--,Sacramento County
