StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C",county
,6 series,02/11 00:45 EST,--,--,-0.5,07120001 Kankakee
05517000,"YELLOW RIVER AT KNOX, IN",07120001 Kankakee
,6 series,08/24 09:30 EST,--,--,21.4,07120001 Kankakee
,EXO,02/11 00:45 EST,--,--,-0.1,07120001 Kankakee
05517010,"YELLOW RIVER NEAR BREMS, IN",02/11 00:45 EST,--,--,-0.0,07120001 Kankakee
05517500,"KANKAKEE RIVER AT DUNNS BRIDGE, IN",07120001 Kankakee
,YSI EXO2,02/11 01:00 EST,8.0,650,0.2,07120001 Kankakee
05518000,"KANKAKEE RIVER AT SHELBY, IN",07120001 Kankakee
,EXO,02/11 01:15 EST,8.1,703,-0.1,07120001 Kankakee
05536160,"LITTLE CALUMET RIVER NEAR HAMMOND, IN",11/12 15:45 EST,--,--,11.2,07120003 Chicago
05536179,"HART DITCH AT DYER, IN",02/11 01:00 EST,--,--,2.2,07120003 Chicago
05536195,"LITTLE CALUMET RIVER AT MUNSTER, IN",11/12 14:15 EST,--,--,12.3,07120003 Chicago
05536356,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",02/11 01:00 EST,--,--,4.0,07120003 Chicago
413339087223001,"LITTLE CALUMET RIVER AT BURR STREET AT GARY, IN",02/11 01:15 EST,--,--,3.0,07120003 Chicago
