StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Sampling depth, feet","Stream velocity, ft/s","Turbidity, NTU","Turbidity, IR LED light,det ang90 deg, FNU",county
08126380,"Colorado Rv nr Ballinger, TX",02/11 00:00 CST,7.1,"3,620",--,--,--,--,--,--,Colorado River Basin
08155500,"Barton Spgs at Austin, TX",02/11 00:00 CST,21.6,675,5.0,7.0,--,--,--,1.5,Colorado River Basin
08164504,"E Mustang Ck nr Louise, TX",02/11 00:30 CST,--,--,--,--,--,--,--,60.0,Lavaca River Basin
08170990,"Jacobs Well Spg nr Wimberley, TX",02/11 00:30 CST,20.8,564,--,--,--,--,--,1.0,Guadalupe River Basin
08180800,"Medina Rv nr Somerset, TX",02/10 23:45 CST,15.7,858,8.7,8.1,--,--,--,20.0,San Antonio River Basin
08181500,"Medina Rv at San Antonio, TX",02/11 00:15 CST,18.4,"1,020",8.3,8.0,--,--,--,8.0,San Antonio River Basin
08181800,"San Antonio Rv nr Elmendorf, TX",02/11 00:30 CST,18.3,"1,110",8.4,7.9,--,--,--,9.2,San Antonio River Basin
08188060,"San Antonio Rv at SH 72 nr Runge, TX",02/11 00:15 CST,16.0,"1,190",9.0,8.4,--,--,--,12.1,San Antonio River Basin
08188500,"San Antonio Rv at Goliad, TX",02/11 00:00 CST,16.2,"1,120",9.1,8.3,--,--,--,17.2,San Antonio River Basin
293332098550701,"Medina Lk Meteorological Sta 2 nr Rio Medina, TX",08/27 08:30 CDT,28.7,--,--,--,--,--,--,--,San Antonio River Basin
08195000,"Frio Rv at Concan, TX",02/11 00:30 CST,16.0,449,--,--,--,--,--,--,Nueces River Basin
08211200,"Nueces Rv at Bluntzer, TX",02/11 00:00 CST,18.7,920,8.1,8.1,--,--,--,24.8,Nueces River Basin
08211502,"Nueces Rv nr Odem, TX",Nueces River Basin
,[from QW Sonde],02/11 00:00 CST,19.8,"21,000",--,--,--,--,--,--,Nueces River Basin
08211503,"Rincon Bayou Channel nr Calallen, TX",08/07 15:00 CDT,31.7,"5,490",--,--,--,--,--,--,Nueces River Basin
0821150305,"Rincon Bayou Channel nr Odem, TX",02/11 00:15 CST,18.5,"26,600",--,--,--,--,--,--,Nueces River Basin
08371500,"Rio Grande abv Rio Conchos nr Presidio, TX",02/11 00:00 CST,13.7,"5,740",7.8,8.1,--,--,--,--,Rio Grande Basin
08374200,"Rio Grande bl Rio Conchos nr Presidio, TX",02/11 00:00 CST,16.3,"3,030",9.8,8.1,--,--,--,--,Rio Grande Basin
08374510,"Rio Grande Dws Santa Elena Canyon, BBNP, TX",02/10 23:45 CST,14.2,"2,970",8.5,8.2,--,--,--,--,Rio Grande Basin
08375300,"Rio Grande at Rio Grande Village, Big Bnd NP, TX",02/11 00:00 CST,23.7,"2,180",7.0,7.9,--,--,--,--,Rio Grande Basin
08377200,"Rio Grande at Foster Rh nr Langtry, TX",02/11 00:00 CST,16.8,"1,160",8.9,8.3,--,--,--,--,Rio Grande Basin
08412500,"Pecos Rv nr Orla, TX",02/11 00:15 CST,11.0,"12,600",9.5,--,--,--,--,--,Rio Grande Basin
08419000,"Pecos Rv at FM 3398 nr Pecos, TX",02/10 23:00 CST,3.3,***,12.1,--,--,--,--,--,Rio Grande Basin
08437710,"Pecos Rv at RR 1776 nr Grandfalls, TX",02/10 23:45 CST,9.8,"23,600",Eqp,--,--,--,--,--,Rio Grande Basin
08446500,"Pecos Rv nr Girvin, TX",02/10 23:45 CST,10.2,"22,900",6.6,--,--,--,--,--,Rio Grande Basin
08447000,"Pecos Rv nr Sheffield, TX",02/10 23:45 CST,13.1,"15,000",9.0,--,--,--,--,--,Rio Grande Basin
08447018,"Caroline Springs at Oasis Ranch, TX",02/10 23:45 CST,21.9,913,--,--,--,--,--,--,Rio Grande Basin
08447300,"Pecos Rv at Brotherton Rh nr Pandale, TX",02/11 00:00 CST,14.9,"5,140",8.8,--,--,--,--,--,Rio Grande Basin
