StationNumber,Station name,Date/Time,"Temperature, water, deg C","Dissolvedoxygen, mg/L","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water, fltrd, mg/L as N","Dissolvedsolids,sum ofconsti-tuents, mg/L","Oxidation re-duction potential, mV","Suspnd.sedimnt conc,wat unfest. byregres, mg/L",county
071948095,"Mud Creek near Johnson, AR",02/11 00:15 CST,2.9,--,387,--,Eqp,--,--,--,--,Arkansas River Basin
07194880,"Osage Creek near Cave Springs, AR",02/10 23:45 CST,8.3,--,427,--,15.7,--,--,--,24.8,Arkansas River Basin
07194933,"Spring Creek at Hwy 112 nr Springdale, AR",02/11 00:45 CST,7.4,--,437,--,30.3,--,--,--,--,Arkansas River Basin
07263296,"Maumelle River near Wye, AR",02/10 23:45 CST,5.4,12.3,27,6.7,4.2,--,--,--,3.5,Arkansas River Basin
072632966,"Lake Maumelle at State Hwy 10 near Wye, AR",02/11 00:15 CST,5.7,11.3,26,6.2,11.8,--,--,--,--,Arkansas River Basin
072632995,Lake Maumelle at Natural Steps,Arkansas River Basin
,[Sensor 1 DO],02/05 06:00 CST,--,11.1,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 1 Water Temperature],02/11 00:00 CST,7.0,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 10 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 10 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 2 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 2 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 3 DO],02/11 00:00 CST,--,10.9,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 3 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 4 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 4 Water Temperature],02/11 00:00 CST,7.0,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 5 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 5 Water Temperature],02/11 00:00 CST,7.0,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 6 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 6 Water Temperature],02/11 00:00 CST,7.0,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 7 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 7 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 8 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 8 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
,[Sensor 9 DO],02/11 00:00 CST,--,0.0,--,--,--,--,--,--,--,Arkansas River Basin
